fpt_list
13
14
16
11
11
11
17
13
10
13
11
10
13
10
13
8
10
14
13
11
14
14
9
14
13
13
13
9
15
14
15
15
11
15
15
11
11
11
13
13
13
10
13
9
15
9
13
13
13
15
8
10
13
13
14
13
15
9
9
13
13
15
13
9
13
15
14
9
10
15
14
14
15
8
9
14
12
14
14
14
13
13
15
15
13
13
14
9
13
9
9
15
13
11
15
16
10
13
15
13
14
13
13
14
14
11
14
13
13
13
15
15
15
10
8
13
12
14
10
12
14
9
13
11
14
8
14
14
14
14
14
13
13
14
14
13
11
11
13
13
14
14
13
14
9
11
13
13
13
14
13
13
13
10
15
8
13
12
15
10
12
15
9
14
15
9
13
13
13
13
9
13
14
14
14
14
14
13
10
11
14
15
13
13
16
13
16
15
15
10
10
9
14
13
14
13
15
11
15
15
13
11
14
10
10
11
16
15
11
10
14
13
13
9
11
16
14
15
11
14
10
8
14
11
13
13
13
15
15
15
10
13
13
13
13
11
14
11
15
11
17
14
11
14
14
14
9
10
14
13
13
11
13
16
11
14
14
13
14
14
13
13
10
14
14
13
11
13
13
15
15
13
13
13
13
14
14
9
11
13
11
9
15
14
13
13
11
10
15
14
9
11
10
11
10
10
13
8
14
13
11
14
14
13
10
14
13
13
11
13
14
9
11
10
13
11
15
14
10
13
13
13
13
14
14
13
9
14
16
13
14
13
9
10
15
11
13
15
11
13
11
15
10
13
10
13
12
14
16
15
13
13
9
8
11
10
16
14
13
13
15
13
13
14
14
13
9
13
13
9
14
15
11
13
15
16
14
9
9
14
15
13
14
13
13
15
15
10
11
9
16
10
10
14
9
14
13
14
14
15
