train_loss,test_loss,train_ssim,test_ssim
6.655261445045471,26.497029749552407,0.04700066021177918,0.01736738656957944
2.0182770013809206,1.4533856670061747,0.07197880111634732,0.1042292058467865
0.8268960654735565,0.9476282169421514,0.07574886046350002,0.05104312586287658
0.6729393839836121,0.6828467279672623,0.09535173550248147,0.10762888515988986
0.6470294117927551,0.6365932156642278,0.11154925525188446,0.09907860433061917
0.6284072577953339,0.625326598683993,0.11738373786211014,0.1258131183683872
0.6160944044589997,0.6142854849497478,0.1397357925772667,0.13655089512467383
0.606020200252533,0.6043318857749304,0.14566627740859986,0.14379290988047919
0.5961156070232392,0.5945435017347336,0.15734464526176453,0.15466918324430784
0.5851943969726563,0.5832102050383886,0.16673552095890046,0.16424268285433452
0.5740301072597503,0.5733522911866505,0.17706717997789384,0.17454398795962334
0.563767158985138,0.5631094604730607,0.18790965974330903,0.18455264220635095
0.5514613568782807,0.5513840764760971,0.1975168138742447,0.19281368975838026
0.5379698812961579,0.538631746172905,0.20823230296373368,0.20154291863242785
0.5248356819152832,0.5277740697065989,0.2202131286263466,0.21229319671789806
1.6432897210121156,0.905442621310552,0.08730647061020136,0.038369341474026444
0.6606860339641571,1.0450183232625325,0.11301243677735329,0.11026634747783343
0.5558935701847076,0.9157965739568075,0.18822693973779678,0.13042243458330632
0.5072053909301758,0.5520232359568278,0.2351646825671196,0.19068460712830226
0.47356627881526947,0.49126505901416145,0.26334445625543595,0.2587430037558079
0.44483351707458496,0.46206001440684,0.2925847560167313,0.2629771682123343
0.42163628041744233,0.44382392019033434,0.3152187019586563,0.2948940073450406
0.40311438143253325,0.4372860739628474,0.3368979275226593,0.2951112965742747
0.3883961021900177,0.4250302722056707,0.35250489711761473,0.311640036602815
0.37218174040317537,0.4030848840872447,0.37114240527153014,0.33454274386167526
0.3611456513404846,0.3987397998571396,0.38329088091850283,0.3338105663657188
0.3504997968673706,0.3862844521800677,0.3945667058229446,0.3572896445790927
0.33968124389648435,0.3873655085762342,0.4054224997758865,0.35078952809174857
0.33289367258548735,0.3862435221672058,0.41428888142108916,0.35529761016368866
0.32178394198417665,0.3758452385663986,0.42785121500492096,0.3792818864186605
2.747790464758873,1.8941545645395914,0.11371979871764779,0.04935408898939689
0.7958912968635559,0.9765412817398708,0.161002030223608,0.1333079492052396
0.5785775482654572,0.7846398929754893,0.21516169607639313,0.18479767541090647
0.4788568079471588,0.5123934373259544,0.2707199156284332,0.2341077856719494
0.42825194597244265,0.4447391480207443,0.30471259355545044,0.28820496300856274
0.4067679762840271,0.42284668336311976,0.3257246404886246,0.30786188642183937
0.38981768786907195,0.41596686144669853,0.34597037732601166,0.3173270896077156
0.37623890340328214,0.4056947390238444,0.3621912866830826,0.33099365631739297
0.3662711203098297,0.41010938386122386,0.3736670076847076,0.3359525814652443
0.35783188939094546,0.393431323270003,0.3838963359594345,0.34372848172982534
0.3491316944360733,0.388722104827563,0.3938731253147125,0.35070415437221525
0.3416517019271851,0.39154546211163205,0.401115345954895,0.3599238569537799
0.3347848176956177,0.38619478096564613,0.4095503926277161,0.36202478607495625
0.3283762186765671,0.3824069231748581,0.4175250828266144,0.3645638287067413
0.32048842012882234,0.38095855712890625,0.42626678943634033,0.3675416534145673
2.8618437886238097,1.8991878151893615,0.13712316704913974,0.05003209207206964
0.627460527420044,0.7727247635523479,0.2288891315460205,0.1645682784418265
0.46218774020671843,0.5497502972682317,0.29562085270881655,0.2430389180779457
0.394861975312233,0.4301720177133878,0.34676042199134827,0.30800974269708
0.3630801856517792,0.4052859331170718,0.37996363937854766,0.3382665117581685
0.344901505112648,0.3876203457514445,0.40082051157951354,0.3570070748527845
0.33214054107666013,0.3808649311463038,0.417525988817215,0.3656714955965678
0.32231210470199584,0.3770187919338544,0.42921323180198667,0.3757811571160952
0.31543866395950315,0.3763726125160853,0.4351633220911026,0.3791833077867826
0.30943726003170013,0.36838040351867674,0.44391072988510133,0.3841760868827502
0.3034396082162857,0.36877737641334535,0.45017043352127073,0.3862621928254763
0.2973918944597244,0.37008443077405295,0.45733359158039094,0.3845791901151339
0.29170883297920225,0.36936837385098137,0.46381020843982695,0.3873595873514811
0.2880920648574829,0.37136173943678535,0.4670538276433945,0.38204151491324106
0.2839208245277405,0.3676312575737635,0.4704120963811874,0.38654187421003977
